experiment,date,num_fish,frame_rate,fish_age,px_to_mm, rig_size
2wpf_061622_1,6-16-22,4,121,2,0.15,150
2wpf_061622_2,6-16-22,4,121,2,0.15,150
2wpf_061622_3,6-16-22,4,121,2,0.15,150
2wpf_061622_4,6-16-22,4,121,2,0.15,150
2wpf_091522_1,9-15-22,4,121,2,0.15,150
2wpf_091522_2,9-15-22,4,121,2,0.15,150
2wpf_091522_3,9-15-22,4,121,2,0.15,150
2wpf_091522_4,9-15-22,4,121,2,0.15,150
2wpf_091522_5,9-15-22,4,121,2,0.15,150
2wpf_091522_6,9-15-22,4,121,2,0.15,150
4wpf_060222_1,6-2-22,4,121,4,0.3,300
4wpf_060222_2,6-2-22,4,121,4,0.3,300
4wpf_060222_3,6-2-22,4,121,4,0.3,300
4wpf_060222_4,6-2-22,4,121,4,0.3,300
4wpf_060222_5,6-2-22,4,121,4,0.3,300
4wpf_092022_1,9-20-22,4,121,4,0.3,300
4wpf_092022_2,9-20-22,4,121,4,0.3,300
6wpf_061522_1,6-15-22,4,121,6,0.3,300
6wpf_061522_2,6-15-22,4,121,6,0.3,300
6wpf_061522_3,6-15-22,4,121,6,0.3,300
6wpf_061522_4,6-15-22,4,121,6,0.3,300
6wpf_091522_1,9-15-22,4,121,6,0.3,300
6wpf_091522_2,9-15-22,4,121,6,0.3,300
6wpf_091522_3,9-15-22,4,121,6,0.3,300
6wpf_091522_4,9-15-22,4,121,6,0.3,300
6wpf_091522_5,9-15-22,4,121,6,0.3,300
8wpf_062922_1,6-29-22,4,121,8,0.3,300
8wpf_062922_2,6-29-22,4,121,8,0.3,300
8wpf_070122_1,7-1-22,4,121,8,0.3,300
8wpf_070122_2,7-1-22,4,121,8,0.3,300
8wpf_070122_3,7-1-22,4,121,8,0.3,300
8wpf_091622_1,9-16-22,4,121,8,0.3,300
8wpf_091622_2,9-16-22,4,121,8,0.3,300
