,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
2,0,5,1,0,0,2.33333333333333,0
3,0,5,1,0,1,5.77777777777778,0
4,0,5,2,1,0,15.1111111111111,0
5,0,5,2,1,1,13,1
6,0,5,3,2,0,22.2222222222222,3
7,0,5,3,2,1,20.4444444444444,3
8,0,5,3,2,0,23.4444444444444,2
9,0,5,3,2,1,27.5555555555556,4
10,0,5,4,3,0,24.4444444444444,3
11,0,5,4,3,1,30.4444444444444,5
12,0,5,5,4,0,34.1111111111111,5
13,0,5,5,4,1,31.6666666666667,4
14,0.01,5,1,5,0,5.44444444444444,0
15,0.01,5,1,5,1,2.44444444444444,0
16,0.01,5,1,5,0,4.55555555555556,0
17,0.01,5,1,5,1,5.66666666666667,0
18,0.01,5,2,6,0,9.11111111111111,1
19,0.01,5,2,6,1,7.44444444444444,0
20,0.01,5,3,7,0,9.77777777777778,0
21,0.01,5,3,7,1,20,3
22,0.01,5,4,8,0,13.1111111111111,1
23,0.01,5,4,8,1,20,3
24,0.01,5,5,9,0,22.5555555555556,0
25,0.01,5,5,9,1,26.2222222222222,0
26,0.02,5,1,10,0,7.11111111111111,0
27,0.02,5,1,10,1,4.44444444444444,0
28,0.02,5,2,11,0,4.55555555555556,0
29,0.02,5,2,11,1,10.3333333333333,0
30,0.02,5,3,12,0,4,0
31,0.02,5,3,12,1,20,3
32,0.02,5,4,13,0,14.1111111111111,1
33,0.02,5,4,13,1,7.44444444444444,0
34,0.02,5,5,14,0,2.77777777777778,0
35,0.02,5,5,14,1,14,0
36,0.03,5,1,15,0,2.33333333333333,0
37,0.03,5,1,15,1,3,0
38,0.03,5,2,16,0,6.22222222222222,0
39,0.03,5,2,16,1,5.22222222222222,0
40,0.03,5,3,17,0,24.3333333333333,4
41,0.03,5,3,17,1,5,0
42,0.03,5,4,18,0,26.2222222222222,1
43,0.03,5,4,18,1,17.1111111111111,1
44,0.03,5,5,19,0,5,0
45,0.03,5,5,19,1,39.8888888888889,4
