,x,y,time,forager,type
0,20.0,1.0,1,1,communicators
1,22.0,2.0,2,1,communicators
2,25.0,2.0,3,1,communicators
3,27.0,4.0,4,1,communicators
4,27.0,4.0,5,1,communicators
5,28.0,5.0,6,1,communicators
6,27.0,5.0,7,1,communicators
7,28.0,4.0,8,1,communicators
8,26.0,3.0,9,1,communicators
9,23.0,3.0,10,1,communicators
10,20.0,3.0,11,1,communicators
11,17.0,3.0,12,1,communicators
12,14.0,3.0,13,1,communicators
13,14.0,6.0,14,1,communicators
14,13.0,7.0,15,1,communicators
15,15.0,5.0,16,1,communicators
16,16.0,4.0,17,1,communicators
17,15.0,4.0,18,1,communicators
18,15.0,4.0,19,1,communicators
19,16.0,5.0,20,1,communicators
20,16.0,5.0,21,1,communicators
21,15.0,5.0,22,1,communicators
22,15.0,5.0,23,1,communicators
23,16.0,4.0,24,1,communicators
24,19.0,4.0,25,1,communicators
25,22.0,4.0,26,1,communicators
26,25.0,4.0,27,1,communicators
27,27.0,2.0,28,1,communicators
28,30.0,2.0,29,1,communicators
29,31.0,2.0,30,1,communicators
30,31.0,1.0,31,1,communicators
31,30.0,1.0,32,1,communicators
32,31.0,0.0,33,1,communicators
33,32.0,0.0,34,1,communicators
34,34.0,2.0,35,1,communicators
35,32.0,4.0,36,1,communicators
36,32.0,7.0,37,1,communicators
37,33.0,9.0,38,1,communicators
38,30.0,9.0,39,1,communicators
39,27.0,9.0,40,1,communicators
40,26.0,10.0,41,1,communicators
41,26.0,9.0,42,1,communicators
42,27.0,10.0,43,1,communicators
43,26.0,8.0,44,1,communicators
44,27.0,10.0,45,1,communicators
45,25.0,11.0,46,1,communicators
46,25.0,13.0,47,1,communicators
47,23.0,11.0,48,1,communicators
48,21.0,13.0,49,1,communicators
49,19.0,15.0,50,1,communicators
50,16.0,15.0,51,1,communicators
51,15.0,15.0,52,1,communicators
52,15.0,16.0,53,1,communicators
53,17.0,16.0,54,1,communicators
54,19.0,18.0,55,1,communicators
55,21.0,18.0,56,1,communicators
56,22.0,19.0,57,1,communicators
57,21.0,19.0,58,1,communicators
58,22.0,18.0,59,1,communicators
59,24.0,20.0,60,1,communicators
60,25.0,22.0,61,1,communicators
61,25.0,25.0,62,1,communicators
62,25.0,28.0,63,1,communicators
63,26.0,28.0,64,1,communicators
64,26.0,27.0,65,1,communicators
65,25.0,27.0,66,1,communicators
66,25.0,28.0,67,1,communicators
67,26.0,28.0,68,1,communicators
68,25.0,30.0,69,1,communicators
69,27.0,30.0,70,1,communicators
70,27.0,29.0,71,1,communicators
71,29.0,28.0,72,1,communicators
72,30.0,28.0,73,1,communicators
73,32.0,30.0,74,1,communicators
74,33.0,31.0,75,1,communicators
75,34.0,30.0,76,1,communicators
76,34.0,27.0,77,1,communicators
77,33.0,28.0,78,1,communicators
78,31.0,27.0,79,1,communicators
79,29.0,29.0,80,1,communicators
80,31.0,31.0,81,1,communicators
81,32.0,29.0,82,1,communicators
82,34.0,30.0,83,1,communicators
83,32.0,31.0,84,1,communicators
84,33.0,32.0,85,1,communicators
85,32.0,33.0,86,1,communicators
86,31.0,32.0,87,1,communicators
87,33.0,32.0,88,1,communicators
88,32.0,32.0,89,1,communicators
89,30.0,32.0,90,1,communicators
90,31.0,32.0,91,1,communicators
91,33.0,30.0,92,1,communicators
92,34.0,32.0,93,1,communicators
93,33.0,32.0,94,1,communicators
94,30.0,32.0,95,1,communicators
95,32.0,33.0,96,1,communicators
96,34.0,32.0,97,1,communicators
97,33.0,32.0,98,1,communicators
98,33.0,29.0,99,1,communicators
99,30.0,29.0,100,1,communicators
100,27.0,29.0,101,1,communicators
101,26.0,27.0,102,1,communicators
102,24.0,25.0,103,1,communicators
103,23.0,27.0,104,1,communicators
104,23.0,29.0,105,1,communicators
105,20.0,29.0,106,1,communicators
106,20.0,27.0,107,1,communicators
107,20.0,24.0,108,1,communicators
108,20.0,21.0,109,1,communicators
109,20.0,18.0,110,1,communicators
110,20.0,15.0,111,1,communicators
111,22.0,13.0,112,1,communicators
112,25.0,13.0,113,1,communicators
113,27.0,15.0,114,1,communicators
114,27.0,15.0,115,1,communicators
115,28.0,15.0,116,1,communicators
116,28.0,14.0,117,1,communicators
117,27.0,14.0,118,1,communicators
118,28.0,16.0,119,1,communicators
119,0.0,0.0,120,1,communicators
0,29.0,1.0,1,2,communicators
1,28.0,3.0,2,2,communicators
2,28.0,4.0,3,2,communicators
3,27.0,4.0,4,2,communicators
4,27.0,4.0,5,2,communicators
5,28.0,5.0,6,2,communicators
6,27.0,5.0,7,2,communicators
7,28.0,4.0,8,2,communicators
8,28.0,2.0,9,2,communicators
9,26.0,0.0,10,2,communicators
10,26.0,1.0,11,2,communicators
11,23.0,1.0,12,2,communicators
12,26.0,1.0,13,2,communicators
13,28.0,0.0,14,2,communicators
14,26.0,1.0,15,2,communicators
15,29.0,1.0,16,2,communicators
16,31.0,2.0,17,2,communicators
17,30.0,2.0,18,2,communicators
18,31.0,1.0,19,2,communicators
19,30.0,1.0,20,2,communicators
20,31.0,2.0,21,2,communicators
21,30.0,2.0,22,2,communicators
22,31.0,1.0,23,2,communicators
23,30.0,1.0,24,2,communicators
24,31.0,2.0,25,2,communicators
25,30.0,2.0,26,2,communicators
26,31.0,1.0,27,2,communicators
27,30.0,1.0,28,2,communicators
28,30.0,2.0,29,2,communicators
29,31.0,2.0,30,2,communicators
30,31.0,1.0,31,2,communicators
31,30.0,1.0,32,2,communicators
32,28.0,2.0,33,2,communicators
33,26.0,1.0,34,2,communicators
34,25.0,1.0,35,2,communicators
35,27.0,3.0,36,2,communicators
36,27.0,6.0,37,2,communicators
37,27.0,9.0,38,2,communicators
38,27.0,10.0,39,2,communicators
39,27.0,9.0,40,2,communicators
40,26.0,10.0,41,2,communicators
41,26.0,9.0,42,2,communicators
42,27.0,10.0,43,2,communicators
43,25.0,12.0,44,2,communicators
44,22.0,12.0,45,2,communicators
45,22.0,15.0,46,2,communicators
