,x,y,time
0,2,16,1
1,3,16,1
2,4,16,1
3,5,16,1
4,2,17,1
5,3,17,1
6,4,17,1
7,5,17,1
8,2,18,1
9,3,18,1
10,4,18,1
11,5,18,1
12,2,19,1
13,3,19,1
14,4,19,1
15,5,19,1
16,6,19,1
17,7,19,1
18,8,19,1
19,5,20,1
20,6,20,1
21,7,20,1
22,8,20,1
23,5,21,1
24,6,21,1
25,7,21,1
26,8,21,1
27,5,22,1
28,6,22,1
29,7,22,1
30,8,22,1
0,2,16,2
1,3,16,2
2,4,16,2
3,5,16,2
4,2,17,2
5,3,17,2
6,4,17,2
7,5,17,2
8,2,18,2
9,3,18,2
10,4,18,2
11,5,18,2
12,2,19,2
13,3,19,2
14,4,19,2
15,5,19,2
16,6,19,2
17,7,19,2
18,8,19,2
19,5,20,2
20,6,20,2
21,7,20,2
22,8,20,2
23,5,21,2
24,6,21,2
25,7,21,2
26,8,21,2
27,5,22,2
28,6,22,2
29,7,22,2
30,8,22,2
0,2,16,3
1,3,16,3
2,4,16,3
3,5,16,3
4,2,17,3
5,3,17,3
6,4,17,3
7,5,17,3
8,2,18,3
9,3,18,3
10,4,18,3
11,5,18,3
12,2,19,3
13,3,19,3
14,4,19,3
15,5,19,3
16,6,19,3
17,7,19,3
18,8,19,3
19,5,20,3
20,6,20,3
21,7,20,3
22,8,20,3
23,5,21,3
24,6,21,3
25,7,21,3
26,8,21,3
27,5,22,3
28,6,22,3
29,7,22,3
30,8,22,3
0,2,16,4
1,3,16,4
2,4,16,4
3,5,16,4
4,2,17,4
5,3,17,4
6,4,17,4
7,5,17,4
8,2,18,4
9,3,18,4
10,4,18,4
11,5,18,4
12,2,19,4
13,3,19,4
14,4,19,4
15,5,19,4
16,6,19,4
17,7,19,4
18,5,20,4
19,6,20,4
20,7,20,4
21,8,20,4
22,5,21,4
23,6,21,4
24,7,21,4
25,8,21,4
26,5,22,4
27,6,22,4
28,7,22,4
29,8,22,4
0,2,16,5
1,3,16,5
2,4,16,5
3,5,16,5
4,2,17,5
5,3,17,5
6,4,17,5
7,5,17,5
8,2,18,5
9,3,18,5
10,4,18,5
11,5,18,5
12,2,19,5
13,3,19,5
14,4,19,5
15,5,19,5
16,6,19,5
17,7,19,5
18,5,20,5
19,7,20,5
20,8,20,5
21,5,21,5
22,6,21,5
23,7,21,5
24,8,21,5
25,5,22,5
26,6,22,5
27,7,22,5
28,8,22,5
0,2,16,6
1,3,16,6
2,4,16,6
3,5,16,6
4,2,17,6
5,3,17,6
6,4,17,6
7,5,17,6
8,2,18,6
9,3,18,6
10,4,18,6
11,5,18,6
12,2,19,6
13,3,19,6
14,5,19,6
15,6,19,6
16,7,19,6
17,5,20,6
18,7,20,6
19,8,20,6
20,5,21,6
21,6,21,6
22,7,21,6
23,8,21,6
24,5,22,6
25,6,22,6
26,7,22,6
27,8,22,6
0,2,16,7
1,3,16,7
2,4,16,7
3,5,16,7
4,2,17,7
5,3,17,7
6,4,17,7
7,5,17,7
8,2,18,7
9,3,18,7
10,5,18,7
11,2,19,7
12,3,19,7
13,5,19,7
14,6,19,7
15,7,19,7
16,5,20,7
17,7,20,7
18,8,20,7
19,5,21,7
20,6,21,7
21,7,21,7
22,8,21,7
23,5,22,7
24,6,22,7
25,7,22,7
26,8,22,7
0,2,16,8
1,3,16,8
2,4,16,8
3,5,16,8
4,2,17,8
5,3,17,8
6,4,17,8
7,5,17,8
8,2,18,8
9,3,18,8
10,5,18,8
11,2,19,8
12,3,19,8
13,5,19,8
14,6,19,8
15,7,19,8
16,7,20,8
17,8,20,8
18,5,21,8
19,6,21,8
20,7,21,8
21,8,21,8
22,5,22,8
23,6,22,8
24,7,22,8
0,2,16,9
1,3,16,9
2,4,16,9
3,5,16,9
4,2,17,9
5,3,17,9
6,4,17,9
7,5,17,9
8,2,18,9
9,5,18,9
10,2,19,9
11,3,19,9
12,5,19,9
13,6,19,9
14,7,19,9
15,7,20,9
16,8,20,9
17,5,21,9
18,6,21,9
19,7,21,9
20,8,21,9
21,5,22,9
22,6,22,9
23,7,22,9
0,2,16,10
1,3,16,10
2,4,16,10
3,5,16,10
4,2,17,10
5,3,17,10
6,4,17,10
7,5,17,10
8,2,18,10
9,2,19,10
10,3,19,10
11,5,19,10
12,6,19,10
13,7,19,10
14,7,20,10
15,8,20,10
16,5,21,10
17,6,21,10
18,7,21,10
19,8,21,10
20,5,22,10
21,6,22,10
22,7,22,10
0,2,16,11
1,3,16,11
2,4,16,11
3,5,16,11
4,2,17,11
5,3,17,11
6,5,17,11
7,2,18,11
8,2,19,11
9,3,19,11
10,5,19,11
11,6,19,11
12,7,19,11
13,7,20,11
14,8,20,11
15,5,21,11
16,6,21,11
17,7,21,11
