x,y,trace,time,trace_standardized,distance,distance_x,distance_y,visibility,forager,proximity,proximity_standardized,how_far_squared,how_far_squared_scaled,communicate,communicate_standardized
23,21,0.14790664701186873,1,-0.6983688841385239,5.830951894845301,3.0,5.0,0.6090581604429741,2,0.0012813629789015465,-0.6656474142093052,36.0,0.9081632653061225,0.0,
27,42,0.32562311763716284,1,-0.11881769971321414,8.06225774829855,1.0,8.0,0.29970158084802306,3,2.76785143303674e-05,-0.5829461300608626,13.0,0.9668367346938775,0.0,
25,26,0.20509551409522123,1,-0.5118702690271498,8.06225774829855,8.0,1.0,0.29970158084802306,1,-0.47376280807267535,-1.5678217255934568,145.0,0.6301020408163265,0.0,
25,26,0.20509551409522123,1,-0.5118702690271498,1.0,1.0,0.0,0.9876883405951378,2,0.06871254331789632,-0.5322433999157794,41.0,0.8954081632653061,0.0,
25,26,0.20509551409522123,1,-0.5118702690271498,8.54400374531753,3.0,8.0,0.22671873024077027,3,-0.45752464860942926,-1.4912845823819207,185.0,0.528061224489796,0.0,
21,32,0.23251335619613472,1,-0.4224579438326333,7.810249675906654,5.0,6.0,0.337222649411765,2,0.09316261392304263,-0.4838720448232389,185.0,0.528061224489796,0.0,
21,32,0.23251335619613472,1,-0.4224579438326333,7.280109889280518,7.0,2.0,0.41435987125763785,3,0.05495364089962452,-0.4739064405920601,113.0,0.7117346938775511,0.0,
21,27,0.6400791683524989,1,0.9066549309357983,5.0990195135927845,5.0,1.0,0.6960233901611642,2,0.007592426117114368,-0.6531617784416243,100.0,0.7448979591836735,0.0,
21,27,0.6400791683524989,1,0.9066549309357983,9.899494936611665,7.0,7.0,0.015786642646442323,3,0.7717337234626669,0.9490541089534982,208.0,0.4693877551020408,0.0,
24,24,0.2075394066035062,1,-0.5039004911399273,9.486832980505138,9.0,3.0,0.0805208212417014,1,0.7439102231726759,0.8135975192752767,170.0,0.5663265306122449,0.0,
24,24,0.2075394066035062,1,-0.5039004911399273,2.8284271247461903,2.0,2.0,0.9029167963079644,2,0.013051650446566962,-0.6423613974188306,34.0,0.9132653061224489,0.0,
33,38,0.3301401190226281,1,-0.10408730644248175,6.4031242374328485,5.0,4.0,0.5354123731070205,3,0.0023753384964308607,-0.5782855268723219,17.0,0.9566326530612245,0.0,
26,40,0.29050168070612414,1,-0.23335221809794535,6.324555320336759,2.0,6.0,0.5457949153541205,3,0.00016419854175902116,-0.5826751088397383,10.0,0.9744897959183674,0.0,
20,35,0.4316949852132919,1,0.22709326887430129,8.06225774829855,8.0,1.0,0.29970158084802306,3,0.002735093250732896,-0.57757133735264,97.0,0.7525510204081632,0.0,
25,35,0.16766247742708168,1,-0.6339431453414547,9.055385138137417,1.0,9.0,0.14783588614657994,2,0.8662878259925277,1.0456578599344712,212.0,0.4591836734693877,0.0,
25,35,0.16766247742708168,1,-0.6339431453414547,3.1622776601683795,3.0,1.0,0.8791458682591077,3,0.017378129019344348,-0.5485018044077343,32.0,0.9183673469387755,0.0,
23,17,0.23635406193339273,1,-0.40993301830814366,9.486832980505138,3.0,9.0,0.0805208212417014,2,9.991824867748892e-05,-0.6679847523499912,52.0,0.8673469387755102,0.0,
30,26,0.19054857786346455,1,-0.5593092829419023,3.1622776601683795,3.0,1.0,0.8791458682591077,1,1.035338408695959,1.383547474389692,50.0,0.8724489795918368,0.0,
30,26,0.19054857786346455,1,-0.5593092829419023,4.0,4.0,0.0,0.8090169943749475,2,0.8999816741647235,1.1123168533047554,26.0,0.9336734693877551,0.0,
30,26,0.19054857786346455,1,-0.5593092829419023,8.246211251235321,2.0,8.0,0.2720131928125575,3,1.8646432654687648,3.118711442253913,170.0,0.5663265306122449,0.0,
24,35,0.20572149665294273,1,-0.5098288773008759,9.219544457292887,2.0,9.0,0.12228681968851,2,0.9978042206873786,1.3058463203692778,221.0,0.4362244897959183,0.0,
24,35,0.20572149665294273,1,-0.5098288773008759,4.123105625617661,4.0,1.0,0.7975002171825903,3,0.014145819014269813,-0.5549186255960071,41.0,0.8954081632653061,0.0,
19,27,0.36519572270097594,1,0.01023252312113291,7.0710678118654755,7.0,1.0,0.4440158403262133,2,0.0016180043625586126,-0.6649814120463382,136.0,0.653061224489796,0.0,
21,37,0.8883085626133201,1,1.7161558114499118,7.615773105863909,7.0,3.0,0.36581977961286466,3,0.0007841209598729577,-0.5814444313052834,68.0,0.826530612244898,0.0,
18,34,0.2728941833469341,1,-0.2907720279410051,10.0,10.0,0.0,6.123233995736766e-17,3,0.0016532837714560266,-0.579718958706223,146.0,0.6275510204081632,0.0,
32,37,0.33033135446651485,1,-0.10346366853419603,5.0,4.0,3.0,0.7071067811865476,3,0.006307379077793215,-0.5704795920220065,13.0,0.9668367346938775,0.0,
22,39,0.7803947399230434,1,1.3642380430182033,7.810249675906654,6.0,5.0,0.337222649411765,3,0.00017838633114468518,-0.5826469430674572,49.0,0.875,0.0,
