,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
0,1.0,5,1,0,0,37.77777777777778,1
1,1.0,5,1,0,1,35.77777777777778,4
2,1.0,5,1,0,2,20.555555555555557,1
3,1.0,5,2,1,0,27.22222222222222,3
4,1.0,5,2,1,1,29.333333333333332,4
5,1.0,5,2,1,2,30.0,0
6,1.0,5,3,2,0,17.666666666666668,2
7,1.0,5,3,2,1,20.444444444444443,0
8,1.0,5,3,2,2,9.11111111111111,0
9,1.0,5,4,3,0,23.0,0
10,1.0,5,4,3,1,50.0,9
11,1.0,5,4,3,2,14.0,0
12,1.0,5,5,4,0,24.88888888888889,0
13,1.0,5,5,4,1,17.11111111111111,0
14,1.0,5,5,4,2,6.222222222222222,0
15,0.2,5,1,5,0,1.8888888888888888,0
16,0.2,5,1,5,1,1.5555555555555556,0
17,0.2,5,1,5,2,3.3333333333333335,0
18,0.2,5,2,6,0,2.5555555555555554,0
19,0.2,5,2,6,1,10.555555555555555,1
20,0.2,5,2,6,2,4.0,0
21,0.2,5,3,7,0,23.555555555555557,0
22,0.2,5,3,7,1,5.444444444444445,0
23,0.2,5,3,7,2,4.777777777777778,0
24,0.2,5,4,8,0,21.333333333333332,3
25,0.2,5,4,8,1,3.888888888888889,0
26,0.2,5,4,8,2,15.11111111111111,1
27,0.2,5,5,9,0,4.666666666666667,0
28,0.2,5,5,9,1,8.0,0
29,0.2,5,5,9,2,5.333333333333333,0
30,0.3,5,1,10,0,2.6666666666666665,0
31,0.3,5,1,10,1,1.5555555555555556,0
32,0.3,5,1,10,2,2.2222222222222223,0
33,0.3,5,2,11,0,5.0,0
34,0.3,5,2,11,1,6.444444444444445,0
35,0.3,5,2,11,2,4.777777777777778,0
36,0.3,5,3,12,0,5.888888888888889,0
37,0.3,5,3,12,1,8.88888888888889,0
38,0.3,5,3,12,2,15.11111111111111,0
39,0.3,5,4,13,0,10.666666666666666,0
40,0.3,5,4,13,1,3.5555555555555554,0
41,0.3,5,4,13,2,5.666666666666667,0
42,0.3,5,5,14,0,8.222222222222221,0
43,0.3,5,5,14,1,4.444444444444445,0
44,0.3,5,5,14,2,6.222222222222222,0
45,0.4,5,1,15,0,2.111111111111111,0
46,0.4,5,1,15,1,1.7777777777777777,0
47,0.4,5,1,15,2,2.5555555555555554,0
48,0.4,5,2,16,0,4.0,0
49,0.4,5,2,16,1,6.0,0
50,0.4,5,2,16,2,3.0,0
51,0.4,5,3,17,0,3.111111111111111,0
52,0.4,5,3,17,1,3.7777777777777777,0
53,0.4,5,3,17,2,9.88888888888889,0
54,0.4,5,4,18,0,5.888888888888889,0
55,0.4,5,4,18,1,13.666666666666666,0
56,0.4,5,4,18,2,9.11111111111111,0
57,0.4,5,5,19,0,5.333333333333333,0
58,0.4,5,5,19,1,6.666666666666667,0
59,0.4,5,5,19,2,3.7777777777777777,0
60,0.5,5,1,20,0,2.2222222222222223,0
61,0.5,5,1,20,1,2.0,0
62,0.5,5,1,20,2,1.6666666666666667,0
63,0.5,5,2,21,0,4.555555555555555,0
64,0.5,5,2,21,1,4.222222222222222,0
65,0.5,5,2,21,2,3.4444444444444446,0
