,x,y,time
0,9,5,1
1,10,5,1
2,11,5,1
3,12,5,1
4,9,6,1
5,10,6,1
6,11,6,1
7,12,6,1
8,9,7,1
9,10,7,1
10,11,7,1
11,12,7,1
12,9,8,1
13,10,8,1
14,11,8,1
15,12,8,1
0,9,5,2
1,10,5,2
2,11,5,2
3,12,5,2
4,9,6,2
5,10,6,2
6,11,6,2
7,12,6,2
8,9,7,2
9,10,7,2
10,11,7,2
11,12,7,2
12,9,8,2
13,10,8,2
14,11,8,2
15,12,8,2
0,9,5,3
1,10,5,3
2,11,5,3
3,12,5,3
4,9,6,3
5,10,6,3
6,11,6,3
7,12,6,3
8,9,7,3
9,10,7,3
10,11,7,3
11,12,7,3
12,9,8,3
13,11,8,3
14,12,8,3
0,9,5,4
1,11,5,4
2,12,5,4
3,9,6,4
4,10,6,4
5,11,6,4
6,12,6,4
7,9,7,4
8,10,7,4
9,11,7,4
10,12,7,4
11,9,8,4
12,11,8,4
13,12,8,4
0,9,5,5
1,11,5,5
2,12,5,5
3,9,6,5
4,10,6,5
5,12,6,5
6,9,7,5
7,10,7,5
8,11,7,5
9,12,7,5
10,9,8,5
11,11,8,5
12,12,8,5
0,9,5,6
1,11,5,6
2,12,5,6
3,9,6,6
4,10,6,6
5,12,6,6
6,9,7,6
7,10,7,6
8,12,7,6
9,9,8,6
10,11,8,6
11,12,8,6
0,9,5,7
1,11,5,7
2,12,5,7
3,9,6,7
4,10,6,7
5,12,6,7
6,9,7,7
7,10,7,7
8,12,7,7
9,9,8,7
10,12,8,7
0,9,5,8
1,11,5,8
2,12,5,8
3,9,6,8
4,10,6,8
5,12,6,8
6,9,7,8
7,12,7,8
8,9,8,8
9,12,8,8
0,9,5,9
1,12,5,9
2,9,6,9
3,10,6,9
4,12,6,9
5,9,7,9
6,12,7,9
7,9,8,9
8,12,8,9
0,9,5,10
1,12,5,10
2,10,6,10
3,12,6,10
4,9,7,10
5,12,7,10
6,9,8,10
7,12,8,10
0,9,5,11
1,12,5,11
2,10,6,11
3,9,7,11
4,12,7,11
5,9,8,11
6,12,8,11
0,9,5,12
1,12,5,12
2,10,6,12
3,9,7,12
4,9,8,12
5,12,8,12
0,9,5,13
1,12,5,13
2,10,6,13
3,9,8,13
4,12,8,13
0,12,5,14
1,10,6,14
2,9,8,14
3,12,8,14
0,10,6,15
1,9,8,15
2,12,8,15
0,9,8,16
1,12,8,16
0,12,8,17
0,5,3,18
1,6,3,18
2,7,3,18
3,8,3,18
4,5,4,18
5,6,4,18
6,7,4,18
7,8,4,18
8,5,5,18
9,6,5,18
10,7,5,18
11,8,5,18
12,5,6,18
13,6,6,18
14,7,6,18
15,8,6,18
0,5,3,19
1,6,3,19
2,7,3,19
3,8,3,19
4,5,4,19
5,6,4,19
6,7,4,19
7,8,4,19
8,5,5,19
9,6,5,19
10,7,5,19
11,8,5,19
12,5,6,19
13,6,6,19
14,7,6,19
15,8,6,19
0,5,3,20
1,6,3,20
2,7,3,20
3,8,3,20
4,5,4,20
5,6,4,20
6,7,4,20
7,5,5,20
8,6,5,20
9,7,5,20
10,8,5,20
11,5,6,20
12,6,6,20
13,7,6,20
14,8,6,20
0,5,3,21
1,6,3,21
2,7,3,21
3,8,3,21
4,5,4,21
5,7,4,21
6,5,5,21
7,6,5,21
8,7,5,21
9,8,5,21
10,5,6,21
11,6,6,21
12,7,6,21
13,8,6,21
0,5,3,22
1,6,3,22
2,7,3,22
3,8,3,22
4,5,4,22
5,5,5,22
6,6,5,22
7,7,5,22
8,8,5,22
9,5,6,22
10,6,6,22
11,7,6,22
12,8,6,22
0,5,3,23
1,6,3,23
2,7,3,23
3,8,3,23
4,5,4,23
5,5,5,23
6,7,5,23
7,8,5,23
8,5,6,23
9,6,6,23
10,7,6,23
11,8,6,23
0,5,3,24
1,6,3,24
2,7,3,24
3,8,3,24
4,5,4,24
5,5,5,24
6,8,5,24
7,5,6,24
8,6,6,24
9,7,6,24
10,8,6,24
0,5,3,25
1,7,3,25
2,8,3,25
3,5,4,25
4,5,5,25
5,8,5,25
6,5,6,25
7,6,6,25
8,7,6,25
9,8,6,25
0,5,3,26
1,7,3,26
2,8,3,26
3,5,4,26
4,8,5,26
5,5,6,26
6,6,6,26
7,7,6,26
8,8,6,26
0,5,3,27
1,8,3,27
2,5,4,27
3,8,5,27
4,5,6,27
5,6,6,27
6,7,6,27
7,8,6,27
0,5,3,28
1,8,3,28
2,5,4,28
3,8,5,28
4,5,6,28
5,6,6,28
6,8,6,28
0,5,3,29
1,8,3,29
2,5,4,29
3,8,5,29
4,5,6,29
5,8,6,29
0,5,3,30
1,8,3,30
2,8,5,30
3,5,6,30
4,8,6,30
0,8,3,31
1,8,5,31
2,5,6,31
3,8,6,31
0,8,5,32
1,5,6,32
2,8,6,32
0,8,5,33
1,5,6,33
0,8,5,34
0,8,5,35
0,1,17,36
1,2,17,36
2,3,17,36
3,4,17,36
4,1,18,36
5,2,18,36
6,3,18,36
7,4,18,36
8,1,19,36
9,2,19,36
10,3,19,36
11,4,19,36
12,1,20,36
13,2,20,36
14,3,20,36
15,4,20,36
0,1,17,37
1,2,17,37
2,3,17,37
3,4,17,37
4,1,18,37
5,2,18,37
6,3,18,37
7,4,18,37
8,1,19,37
9,2,19,37
10,3,19,37
11,4,19,37
12,1,20,37
13,2,20,37
14,3,20,37
15,4,20,37
0,1,17,38
1,2,17,38
2,3,17,38
3,4,17,38
4,1,18,38
5,2,18,38
6,3,18,38
7,4,18,38
8,1,19,38
9,2,19,38
10,3,19,38
11,4,19,38
12,1,20,38
13,2,20,38
14,3,20,38
15,4,20,38
0,1,17,39
1,2,17,39
2,3,17,39
3,4,17,39
4,1,18,39
5,2,18,39
6,3,18,39
7,4,18,39
8,1,19,39
9,2,19,39
10,3,19,39
11,4,19,39
12,1,20,39
13,2,20,39
14,3,20,39
15,4,20,39
0,1,17,40
1,2,17,40
2,3,17,40
3,4,17,40
4,1,18,40
5,2,18,40
6,3,18,40
7,4,18,40
8,1,19,40
9,2,19,40
10,3,19,40
11,4,19,40
12,1,20,40
13,2,20,40
14,3,20,40
15,4,20,40
0,1,17,41
1,2,17,41
2,3,17,41
3,4,17,41
4,1,18,41
5,2,18,41
6,3,18,41
7,4,18,41
8,1,19,41
9,2,19,41
10,3,19,41
11,4,19,41
12,1,20,41
13,2,20,41
14,3,20,41
15,4,20,41
0,1,17,42
1,2,17,42
2,3,17,42
3,4,17,42
4,1,18,42
5,2,18,42
6,3,18,42
7,4,18,42
8,1,19,42
9,2,19,42
10,3,19,42
11,4,19,42
12,1,20,42
13,2,20,42
14,3,20,42
15,4,20,42
0,1,17,43
1,2,17,43
2,3,17,43
3,4,17,43
4,1,18,43
5,2,18,43
6,3,18,43
7,4,18,43
8,1,19,43
9,2,19,43
10,3,19,43
11,4,19,43
12,1,20,43
13,2,20,43
14,3,20,43
15,4,20,43
0,1,17,44
1,2,17,44
2,3,17,44
3,4,17,44
4,1,18,44
5,2,18,44
6,3,18,44
7,4,18,44
8,1,19,44
9,2,19,44
10,3,19,44
11,4,19,44
12,1,20,44
13,2,20,44
14,3,20,44
15,4,20,44
0,1,17,45
1,2,17,45
2,3,17,45
3,4,17,45
4,1,18,45
5,2,18,45
6,3,18,45
7,4,18,45
8,1,19,45
9,2,19,45
10,3,19,45
11,4,19,45
12,1,20,45
13,2,20,45
14,3,20,45
15,4,20,45
0,1,17,46
1,2,17,46
2,3,17,46
3,4,17,46
4,1,18,46
5,2,18,46
6,3,18,46
7,4,18,46
8,1,19,46
9,2,19,46
10,3,19,46
11,4,19,46
12,1,20,46
13,2,20,46
14,3,20,46
15,4,20,46
0,1,17,47
1,2,17,47
2,3,17,47
3,4,17,47
4,1,18,47
5,2,18,47
6,4,18,47
7,1,19,47
8,2,19,47
9,3,19,47
10,4,19,47
11,1,20,47
12,2,20,47
13,3,20,47
14,4,20,47
0,1,17,48
1,2,17,48
2,4,17,48
3,1,18,48
4,2,18,48
5,4,18,48
6,1,19,48
7,2,19,48
8,3,19,48
9,4,19,48
10,1,20,48
11,2,20,48
12,3,20,48
13,4,20,48
0,1,17,49
1,2,17,49
2,4,17,49
3,1,18,49
4,2,18,49
5,4,18,49
6,1,19,49
7,2,19,49
8,3,19,49
9,4,19,49
10,1,20,49
11,2,20,49
12,4,20,49
