,x,y,time,bird,type
0,5.0,24.0,1,1,communicators
1,3.0,25.0,2,1,communicators
2,5.0,23.0,3,1,communicators
3,8.0,23.0,4,1,communicators
4,10.0,21.0,5,1,communicators
5,11.0,20.0,6,1,communicators
6,10.0,20.0,7,1,communicators
7,11.0,21.0,8,1,communicators
8,13.0,19.0,9,1,communicators
9,13.0,16.0,10,1,communicators
10,15.0,14.0,11,1,communicators
11,17.0,12.0,12,1,communicators
12,16.0,10.0,13,1,communicators
13,17.0,10.0,14,1,communicators
14,17.0,9.0,15,1,communicators
15,16.0,9.0,16,1,communicators
16,18.0,8.0,17,1,communicators
17,19.0,10.0,18,1,communicators
18,20.0,12.0,19,1,communicators
19,22.0,11.0,20,1,communicators
20,20.0,11.0,21,1,communicators
21,20.0,9.0,22,1,communicators
22,17.0,9.0,23,1,communicators
23,17.0,8.0,24,1,communicators
24,19.0,7.0,25,1,communicators
25,21.0,6.0,26,1,communicators
26,22.0,7.0,27,1,communicators
27,20.0,6.0,28,1,communicators
28,21.0,5.0,29,1,communicators
29,20.0,3.0,30,1,communicators
30,20.0,1.0,31,1,communicators
31,19.0,2.0,32,1,communicators
32,17.0,3.0,33,1,communicators
33,16.0,3.0,34,1,communicators
34,18.0,1.0,35,1,communicators
35,17.0,0.0,36,1,communicators
36,16.0,2.0,37,1,communicators
37,14.0,1.0,38,1,communicators
38,16.0,0.0,39,1,communicators
39,16.0,0.0,40,1,communicators
40,14.0,1.0,41,1,communicators
41,16.0,1.0,42,1,communicators
42,16.0,3.0,43,1,communicators
43,18.0,2.0,44,1,communicators
44,18.0,0.0,45,1,communicators
45,19.0,1.0,46,1,communicators
46,16.0,1.0,47,1,communicators
47,15.0,1.0,48,1,communicators
48,14.0,2.0,49,1,communicators
49,0.0,0.0,50,1,communicators
0,24.0,3.0,1,2,communicators
1,26.0,1.0,2,2,communicators
2,26.0,1.0,3,2,communicators
3,23.0,1.0,4,2,communicators
4,20.0,1.0,5,2,communicators
5,17.0,1.0,6,2,communicators
6,14.0,1.0,7,2,communicators
7,15.0,2.0,8,2,communicators
8,14.0,2.0,9,2,communicators
9,15.0,1.0,10,2,communicators
10,15.0,4.0,11,2,communicators
11,15.0,7.0,12,2,communicators
12,16.0,9.0,13,2,communicators
13,17.0,10.0,14,2,communicators
14,17.0,9.0,15,2,communicators
15,18.0,11.0,16,2,communicators
16,18.0,13.0,17,2,communicators
17,21.0,13.0,18,2,communicators
18,23.0,12.0,19,2,communicators
19,26.0,12.0,20,2,communicators
20,24.0,11.0,21,2,communicators
21,25.0,9.0,22,2,communicators
22,24.0,10.0,23,2,communicators
23,24.0,13.0,24,2,communicators
24,24.0,12.0,25,2,communicators
25,24.0,9.0,26,2,communicators
26,26.0,7.0,27,2,communicators
27,26.0,5.0,28,2,communicators
28,24.0,3.0,29,2,communicators
29,25.0,5.0,30,2,communicators
30,26.0,5.0,31,2,communicators
31,26.0,2.0,32,2,communicators
32,26.0,0.0,33,2,communicators
33,25.0,1.0,34,2,communicators
34,25.0,2.0,35,2,communicators
35,25.0,4.0,36,2,communicators
36,25.0,3.0,37,2,communicators
37,26.0,2.0,38,2,communicators
38,24.0,0.0,39,2,communicators
39,25.0,2.0,40,2,communicators
40,27.0,4.0,41,2,communicators
41,29.0,4.0,42,2,communicators
42,29.0,5.0,43,2,communicators
43,28.0,7.0,44,2,communicators
44,28.0,4.0,45,2,communicators
45,29.0,6.0,46,2,communicators
46,28.0,5.0,47,2,communicators
47,26.0,5.0,48,2,communicators
48,27.0,6.0,49,2,communicators
49,0.0,0.0,50,2,communicators
0,9.0,7.0,1,3,communicators
1,11.0,9.0,2,3,communicators
2,14.0,9.0,3,3,communicators
3,16.0,9.0,4,3,communicators
4,17.0,9.0,5,3,communicators
5,16.0,10.0,6,3,communicators
6,17.0,10.0,7,3,communicators
7,16.0,9.0,8,3,communicators
8,17.0,9.0,9,3,communicators
9,16.0,10.0,10,3,communicators
10,17.0,10.0,11,3,communicators
11,16.0,10.0,12,3,communicators
12,16.0,9.0,13,3,communicators
13,17.0,10.0,14,3,communicators
14,17.0,9.0,15,3,communicators
15,14.0,9.0,16,3,communicators
16,13.0,8.0,17,3,communicators
17,15.0,6.0,18,3,communicators
18,16.0,7.0,19,3,communicators
19,13.0,7.0,20,3,communicators
20,12.0,8.0,21,3,communicators
21,13.0,6.0,22,3,communicators
22,14.0,7.0,23,3,communicators
23,13.0,6.0,24,3,communicators
24,13.0,3.0,25,3,communicators
25,11.0,5.0,26,3,communicators
26,13.0,6.0,27,3,communicators
27,14.0,7.0,28,3,communicators
28,13.0,7.0,29,3,communicators
29,13.0,8.0,30,3,communicators
30,14.0,7.0,31,3,communicators
31,12.0,7.0,32,3,communicators
32,13.0,5.0,33,3,communicators
33,13.0,4.0,34,3,communicators
34,11.0,2.0,35,3,communicators
35,11.0,3.0,36,3,communicators
36,9.0,3.0,37,3,communicators
37,11.0,1.0,38,3,communicators
38,12.0,0.0,39,3,communicators
39,13.0,1.0,40,3,communicators
40,13.0,0.0,41,3,communicators
41,13.0,3.0,42,3,communicators
42,10.0,3.0,43,3,communicators
43,10.0,3.0,44,3,communicators
44,8.0,5.0,45,3,communicators
45,5.0,5.0,46,3,communicators
46,3.0,4.0,47,3,communicators
47,4.0,4.0,48,3,communicators
48,6.0,2.0,49,3,communicators
49,0.0,0.0,50,3,communicators
0,14.0,22.0,1,4,communicators
1,11.0,22.0,2,4,communicators
2,10.0,21.0,3,4,communicators
