,x,y,time
0,7,5,1
1,8,5,1
2,9,5,1
3,7,6,1
4,8,6,1
5,9,6,1
6,7,7,1
7,8,7,1
8,9,7,1
9,6,11,1
10,7,11,1
11,8,11,1
12,6,12,1
13,7,12,1
14,8,12,1
15,6,13,1
16,7,13,1
17,8,13,1
0,7,5,2
1,8,5,2
2,9,5,2
3,7,6,2
4,8,6,2
5,9,6,2
6,7,7,2
7,8,7,2
8,9,7,2
9,6,11,2
10,7,11,2
11,8,11,2
12,6,12,2
13,7,12,2
14,8,12,2
15,6,13,2
16,7,13,2
17,8,13,2
0,7,5,3
1,8,5,3
2,9,5,3
3,7,6,3
4,8,6,3
5,9,6,3
6,7,7,3
7,8,7,3
8,9,7,3
9,6,11,3
10,7,11,3
11,8,11,3
12,6,12,3
13,7,12,3
14,8,12,3
15,6,13,3
16,7,13,3
17,8,13,3
0,7,5,4
1,8,5,4
2,9,5,4
3,7,6,4
4,8,6,4
5,9,6,4
6,7,7,4
7,8,7,4
8,9,7,4
9,6,11,4
10,7,11,4
11,8,11,4
12,6,12,4
13,7,12,4
14,8,12,4
15,6,13,4
16,7,13,4
17,8,13,4
0,7,5,5
1,8,5,5
2,9,5,5
3,7,6,5
4,8,6,5
5,9,6,5
6,7,7,5
7,8,7,5
8,9,7,5
9,6,11,5
10,7,11,5
11,8,11,5
12,6,12,5
13,7,12,5
14,8,12,5
15,6,13,5
16,7,13,5
17,8,13,5
0,7,5,6
1,8,5,6
2,9,5,6
3,7,6,6
4,8,6,6
5,9,6,6
6,7,7,6
7,8,7,6
8,9,7,6
9,6,11,6
10,7,11,6
11,8,11,6
12,6,12,6
13,7,12,6
14,8,12,6
15,6,13,6
16,7,13,6
17,8,13,6
0,7,5,7
1,8,5,7
2,9,5,7
3,7,6,7
4,8,6,7
5,9,6,7
6,7,7,7
7,8,7,7
8,9,7,7
9,6,11,7
10,7,11,7
11,8,11,7
12,6,12,7
13,7,12,7
14,8,12,7
15,6,13,7
16,7,13,7
17,8,13,7
0,7,5,8
1,8,5,8
2,9,5,8
3,7,6,8
4,8,6,8
5,9,6,8
6,7,7,8
7,8,7,8
8,9,7,8
9,6,11,8
10,7,11,8
11,8,11,8
12,6,12,8
13,7,12,8
14,8,12,8
15,6,13,8
16,7,13,8
17,8,13,8
0,7,5,9
1,8,5,9
2,9,5,9
3,7,6,9
4,8,6,9
5,9,6,9
6,7,7,9
7,8,7,9
8,9,7,9
9,6,11,9
10,7,11,9
11,8,11,9
12,6,12,9
13,7,12,9
14,8,12,9
15,6,13,9
16,7,13,9
17,8,13,9
0,7,5,10
1,8,5,10
2,9,5,10
3,7,6,10
4,8,6,10
5,9,6,10
6,7,7,10
7,8,7,10
8,9,7,10
9,6,11,10
10,7,11,10
11,8,11,10
12,6,12,10
13,7,12,10
14,8,12,10
15,6,13,10
16,7,13,10
17,8,13,10
0,7,5,11
1,8,5,11
2,9,5,11
3,7,6,11
4,8,6,11
5,9,6,11
6,7,7,11
7,8,7,11
8,9,7,11
9,6,11,11
10,7,11,11
11,8,11,11
12,6,12,11
13,7,12,11
14,8,12,11
15,6,13,11
16,7,13,11
17,8,13,11
0,7,5,12
1,8,5,12
2,9,5,12
3,7,6,12
4,8,6,12
5,9,6,12
6,7,7,12
7,8,7,12
8,9,7,12
9,6,11,12
10,7,11,12
11,8,11,12
12,6,12,12
13,7,12,12
14,8,12,12
15,6,13,12
16,7,13,12
17,8,13,12
0,7,5,13
1,8,5,13
2,9,5,13
3,7,6,13
4,8,6,13
5,9,6,13
6,7,7,13
7,8,7,13
8,9,7,13
9,6,11,13
10,7,11,13
11,8,11,13
12,6,12,13
13,7,12,13
14,8,12,13
15,6,13,13
16,7,13,13
17,8,13,13
0,7,5,14
1,8,5,14
2,9,5,14
3,7,6,14
4,8,6,14
5,9,6,14
6,7,7,14
7,8,7,14
8,9,7,14
9,6,11,14
10,7,11,14
11,8,11,14
12,6,12,14
13,7,12,14
14,8,12,14
15,6,13,14
16,7,13,14
17,8,13,14
0,7,5,15
1,8,5,15
2,9,5,15
3,7,6,15
4,8,6,15
5,9,6,15
6,7,7,15
7,8,7,15
8,9,7,15
9,6,11,15
10,7,11,15
11,8,11,15
12,6,12,15
13,7,12,15
14,8,12,15
15,6,13,15
16,7,13,15
17,8,13,15
0,7,5,16
1,8,5,16
2,9,5,16
3,7,6,16
4,8,6,16
5,9,6,16
6,7,7,16
7,8,7,16
8,9,7,16
9,6,11,16
10,7,11,16
11,8,11,16
12,6,12,16
13,7,12,16
14,8,12,16
15,6,13,16
16,7,13,16
17,8,13,16
0,7,5,17
1,8,5,17
2,9,5,17
3,7,6,17
4,8,6,17
5,9,6,17
6,7,7,17
7,8,7,17
8,9,7,17
9,6,11,17
10,7,11,17
11,8,11,17
12,6,12,17
13,7,12,17
14,8,12,17
15,6,13,17
16,7,13,17
17,8,13,17
0,7,5,18
1,8,5,18
2,9,5,18
3,7,6,18
4,8,6,18
5,9,6,18
6,7,7,18
7,8,7,18
8,9,7,18
9,6,11,18
10,7,11,18
11,8,11,18
12,6,12,18
13,7,12,18
14,8,12,18
15,6,13,18
16,7,13,18
17,8,13,18
0,7,5,19
1,8,5,19
2,9,5,19
3,7,6,19
4,8,6,19
5,9,6,19
6,7,7,19
7,8,7,19
8,9,7,19
9,6,11,19
10,7,11,19
11,8,11,19
12,6,12,19
13,7,12,19
14,8,12,19
15,6,13,19
16,7,13,19
17,8,13,19
0,7,5,20
1,8,5,20
2,9,5,20
3,7,6,20
4,8,6,20
5,9,6,20
6,7,7,20
7,8,7,20
8,9,7,20
9,6,11,20
10,7,11,20
11,8,11,20
12,6,12,20
13,7,12,20
14,8,12,20
15,6,13,20
16,7,13,20
17,8,13,20
0,7,5,21
1,8,5,21
2,9,5,21
3,7,6,21
4,8,6,21
5,9,6,21
6,7,7,21
7,8,7,21
8,9,7,21
9,6,11,21
10,7,11,21
11,8,11,21
12,6,12,21
13,7,12,21
14,8,12,21
15,6,13,21
16,7,13,21
17,8,13,21
0,7,5,22
1,8,5,22
2,9,5,22
3,7,6,22
4,8,6,22
5,9,6,22
6,7,7,22
7,8,7,22
8,9,7,22
9,6,11,22
10,7,11,22
