,c_trust,sight_radius,reward_patch_dim,sim index
0,0.0,5,1,0
1,0.0,5,2,1
2,0.0,5,3,2
3,0.0,5,4,3
4,0.0,5,5,4
5,0.05,5,1,5
6,0.05,5,2,6
7,0.05,5,3,7
8,0.05,5,4,8
9,0.05,5,5,9
10,0.1,5,1,10
11,0.1,5,2,11
12,0.1,5,3,12
13,0.1,5,4,13
14,0.1,5,5,14
15,0.15000000000000002,5,1,15
16,0.15000000000000002,5,2,16
17,0.15000000000000002,5,3,17
18,0.15000000000000002,5,4,18
19,0.15000000000000002,5,5,19
20,0.2,5,1,20
21,0.2,5,2,21
22,0.2,5,3,22
23,0.2,5,4,23
24,0.2,5,5,24
25,0.25,5,1,25
26,0.25,5,2,26
27,0.25,5,3,27
28,0.25,5,4,28
29,0.25,5,5,29
30,0.30000000000000004,5,1,30
31,0.30000000000000004,5,2,31
32,0.30000000000000004,5,3,32
33,0.30000000000000004,5,4,33
34,0.30000000000000004,5,5,34
35,0.35000000000000003,5,1,35
36,0.35000000000000003,5,2,36
37,0.35000000000000003,5,3,37
38,0.35000000000000003,5,4,38
39,0.35000000000000003,5,5,39
40,0.4,5,1,40
41,0.4,5,2,41
42,0.4,5,3,42
43,0.4,5,4,43
44,0.4,5,5,44
45,0.45,5,1,45
46,0.45,5,2,46
47,0.45,5,3,47
48,0.45,5,4,48
49,0.45,5,5,49
50,0.5,5,1,50
51,0.5,5,2,51
52,0.5,5,3,52
53,0.5,5,4,53
54,0.5,5,5,54
55,0.55,5,1,55
56,0.55,5,2,56
57,0.55,5,3,57
58,0.55,5,4,58
59,0.55,5,5,59
60,0.6000000000000001,5,1,60
61,0.6000000000000001,5,2,61
62,0.6000000000000001,5,3,62
63,0.6000000000000001,5,4,63
64,0.6000000000000001,5,5,64
65,0.65,5,1,65
66,0.65,5,2,66
67,0.65,5,3,67
68,0.65,5,4,68
69,0.65,5,5,69
70,0.7000000000000001,5,1,70
71,0.7000000000000001,5,2,71
72,0.7000000000000001,5,3,72
73,0.7000000000000001,5,4,73
74,0.7000000000000001,5,5,74
75,0.75,5,1,75
76,0.75,5,2,76
77,0.75,5,3,77
78,0.75,5,4,78
79,0.75,5,5,79
80,0.8,5,1,80
81,0.8,5,2,81
82,0.8,5,3,82
83,0.8,5,4,83
84,0.8,5,5,84
85,0.8500000000000001,5,1,85
86,0.8500000000000001,5,2,86
87,0.8500000000000001,5,3,87
88,0.8500000000000001,5,4,88
89,0.8500000000000001,5,5,89
90,0.9,5,1,90
91,0.9,5,2,91
92,0.9,5,3,92
93,0.9,5,4,93
94,0.9,5,5,94
95,0.9500000000000001,5,1,95
96,0.9500000000000001,5,2,96
97,0.9500000000000001,5,3,97
98,0.9500000000000001,5,4,98
99,0.9500000000000001,5,5,99
100,1.0,5,1,100
101,1.0,5,2,101
102,1.0,5,3,102
103,1.0,5,4,103
104,1.0,5,5,104
