,x,y,time,bird,type
0,10.0,14.0,1,1,communicators
1,10.0,11.0,2,1,communicators
2,10.0,8.0,3,1,communicators
3,10.0,8.0,4,1,communicators
4,11.0,9.0,5,1,communicators
5,11.0,9.0,6,1,communicators
6,11.0,8.0,7,1,communicators
7,12.0,10.0,8,1,communicators
8,9.0,10.0,9,1,communicators
9,10.0,9.0,10,1,communicators
10,10.0,7.0,11,1,communicators
11,11.0,7.0,12,1,communicators
12,9.0,8.0,13,1,communicators
13,12.0,8.0,14,1,communicators
14,12.0,9.0,15,1,communicators
15,9.0,9.0,16,1,communicators
16,9.0,7.0,17,1,communicators
17,12.0,7.0,18,1,communicators
18,10.0,9.0,19,1,communicators
19,10.0,10.0,20,1,communicators
20,13.0,10.0,21,1,communicators
21,11.0,12.0,22,1,communicators
22,9.0,11.0,23,1,communicators
23,6.0,11.0,24,1,communicators
24,4.0,13.0,25,1,communicators
25,2.0,11.0,26,1,communicators
26,3.0,11.0,27,1,communicators
27,2.0,13.0,28,1,communicators
28,2.0,10.0,29,1,communicators
29,1.0,12.0,30,1,communicators
30,3.0,13.0,31,1,communicators
31,1.0,11.0,32,1,communicators
32,4.0,11.0,33,1,communicators
33,4.0,10.0,34,1,communicators
34,1.0,10.0,35,1,communicators
35,1.0,13.0,36,1,communicators
36,3.0,12.0,37,1,communicators
37,4.0,12.0,38,1,communicators
38,5.0,12.0,39,1,communicators
39,7.0,11.0,40,1,communicators
40,9.0,13.0,41,1,communicators
41,8.0,12.0,42,1,communicators
42,6.0,14.0,43,1,communicators
43,7.0,16.0,44,1,communicators
44,6.0,18.0,45,1,communicators
45,5.0,16.0,46,1,communicators
46,6.0,14.0,47,1,communicators
47,8.0,16.0,48,1,communicators
48,10.0,18.0,49,1,communicators
49,10.0,21.0,50,1,communicators
50,12.0,23.0,51,1,communicators
51,13.0,24.0,52,1,communicators
52,14.0,26.0,53,1,communicators
53,13.0,26.0,54,1,communicators
54,15.0,24.0,55,1,communicators
55,15.0,25.0,56,1,communicators
56,15.0,26.0,57,1,communicators
57,12.0,26.0,58,1,communicators
58,12.0,24.0,59,1,communicators
59,14.0,23.0,60,1,communicators
60,15.0,23.0,61,1,communicators
61,14.0,25.0,62,1,communicators
62,13.0,25.0,63,1,communicators
63,14.0,26.0,64,1,communicators
64,14.0,24.0,65,1,communicators
65,13.0,23.0,66,1,communicators
66,12.0,21.0,67,1,communicators
67,12.0,23.0,68,1,communicators
68,13.0,22.0,69,1,communicators
69,13.0,19.0,70,1,communicators
70,16.0,19.0,71,1,communicators
71,18.0,17.0,72,1,communicators
72,19.0,15.0,73,1,communicators
73,18.0,16.0,74,1,communicators
74,20.0,16.0,75,1,communicators
75,19.0,17.0,76,1,communicators
76,18.0,16.0,77,1,communicators
77,19.0,17.0,78,1,communicators
78,21.0,18.0,79,1,communicators
79,21.0,21.0,80,1,communicators
80,21.0,24.0,81,1,communicators
81,20.0,25.0,82,1,communicators
82,20.0,22.0,83,1,communicators
83,20.0,23.0,84,1,communicators
84,19.0,23.0,85,1,communicators
85,22.0,23.0,86,1,communicators
86,21.0,23.0,87,1,communicators
87,18.0,23.0,88,1,communicators
88,19.0,22.0,89,1,communicators
89,18.0,21.0,90,1,communicators
90,20.0,22.0,91,1,communicators
91,22.0,24.0,92,1,communicators
92,20.0,26.0,93,1,communicators
93,18.0,27.0,94,1,communicators
94,16.0,27.0,95,1,communicators
95,17.0,29.0,96,1,communicators
96,18.0,29.0,97,1,communicators
97,19.0,27.0,98,1,communicators
98,19.0,26.0,99,1,communicators
99,17.0,27.0,100,1,communicators
100,16.0,28.0,101,1,communicators
101,16.0,27.0,102,1,communicators
102,15.0,25.0,103,1,communicators
103,16.0,23.0,104,1,communicators
104,14.0,24.0,105,1,communicators
105,17.0,24.0,106,1,communicators
106,14.0,24.0,107,1,communicators
107,14.0,27.0,108,1,communicators
108,16.0,26.0,109,1,communicators
109,16.0,23.0,110,1,communicators
110,14.0,21.0,111,1,communicators
111,12.0,19.0,112,1,communicators
112,10.0,17.0,113,1,communicators
113,12.0,19.0,114,1,communicators
114,10.0,18.0,115,1,communicators
115,12.0,20.0,116,1,communicators
116,10.0,19.0,117,1,communicators
117,10.0,19.0,118,1,communicators
118,11.0,20.0,119,1,communicators
119,12.0,18.0,120,1,communicators
120,12.0,17.0,121,1,communicators
121,12.0,17.0,122,1,communicators
122,14.0,16.0,123,1,communicators
123,15.0,18.0,124,1,communicators
124,18.0,18.0,125,1,communicators
125,18.0,15.0,126,1,communicators
126,17.0,13.0,127,1,communicators
127,17.0,14.0,128,1,communicators
128,16.0,14.0,129,1,communicators
129,16.0,17.0,130,1,communicators
130,15.0,18.0,131,1,communicators
131,13.0,17.0,132,1,communicators
132,12.0,18.0,133,1,communicators
133,12.0,21.0,134,1,communicators
134,11.0,23.0,135,1,communicators
135,10.0,25.0,136,1,communicators
136,11.0,25.0,137,1,communicators
137,9.0,23.0,138,1,communicators
138,11.0,24.0,139,1,communicators
139,11.0,24.0,140,1,communicators
140,11.0,26.0,141,1,communicators
141,9.0,24.0,142,1,communicators
142,10.0,24.0,143,1,communicators
143,12.0,25.0,144,1,communicators
144,12.0,23.0,145,1,communicators
145,12.0,26.0,146,1,communicators
146,9.0,26.0,147,1,communicators
147,11.0,25.0,148,1,communicators
148,12.0,24.0,149,1,communicators
149,0.0,0.0,150,1,communicators
0,18.0,21.0,1,2,communicators
1,18.0,18.0,2,2,communicators
2,16.0,16.0,3,2,communicators
3,14.0,14.0,4,2,communicators
4,12.0,12.0,5,2,communicators
5,11.0,10.0,6,2,communicators
6,11.0,8.0,7,2,communicators
7,12.0,10.0,8,2,communicators
8,9.0,10.0,9,2,communicators
9,10.0,9.0,10,2,communicators
10,10.0,7.0,11,2,communicators
11,11.0,7.0,12,2,communicators
12,9.0,8.0,13,2,communicators
13,12.0,8.0,14,2,communicators
14,12.0,9.0,15,2,communicators
15,9.0,9.0,16,2,communicators
16,9.0,7.0,17,2,communicators
17,12.0,7.0,18,2,communicators
18,10.0,9.0,19,2,communicators
19,10.0,10.0,20,2,communicators
20,9.0,9.0,21,2,communicators
21,11.0,9.0,22,2,communicators
22,11.0,11.0,23,2,communicators
23,8.0,11.0,24,2,communicators
24,5.0,11.0,25,2,communicators
25,2.0,11.0,26,2,communicators
26,3.0,11.0,27,2,communicators
27,2.0,13.0,28,2,communicators
28,2.0,10.0,29,2,communicators
29,1.0,12.0,30,2,communicators
30,3.0,13.0,31,2,communicators
31,1.0,11.0,32,2,communicators
32,4.0,11.0,33,2,communicators
33,4.0,10.0,34,2,communicators
34,1.0,10.0,35,2,communicators
35,1.0,13.0,36,2,communicators
36,3.0,12.0,37,2,communicators
37,4.0,12.0,38,2,communicators
38,6.0,11.0,39,2,communicators
39,5.0,11.0,40,2,communicators
40,5.0,14.0,41,2,communicators
41,4.0,15.0,42,2,communicators
42,2.0,16.0,43,2,communicators
43,1.0,17.0,44,2,communicators
44,0.0,15.0,45,2,communicators
45,1.0,13.0,46,2,communicators
46,1.0,13.0,47,2,communicators
47,3.0,15.0,48,2,communicators
48,5.0,17.0,49,2,communicators
49,7.0,19.0,50,2,communicators
50,9.0,21.0,51,2,communicators
51,11.0,23.0,52,2,communicators
52,12.0,25.0,53,2,communicators
53,13.0,26.0,54,2,communicators
54,15.0,24.0,55,2,communicators
55,15.0,25.0,56,2,communicators
56,15.0,26.0,57,2,communicators
57,12.0,26.0,58,2,communicators
58,12.0,24.0,59,2,communicators
59,14.0,23.0,60,2,communicators
60,15.0,23.0,61,2,communicators
61,14.0,25.0,62,2,communicators
62,13.0,25.0,63,2,communicators
63,14.0,26.0,64,2,communicators
64,14.0,24.0,65,2,communicators
65,13.0,23.0,66,2,communicators
66,15.0,21.0,67,2,communicators
67,13.0,20.0,68,2,communicators
68,12.0,20.0,69,2,communicators
69,11.0,18.0,70,2,communicators
70,13.0,18.0,71,2,communicators
71,13.0,21.0,72,2,communicators
72,11.0,22.0,73,2,communicators
73,10.0,23.0,74,2,communicators
74,9.0,22.0,75,2,communicators
75,9.0,25.0,76,2,communicators
76,9.0,22.0,77,2,communicators
77,9.0,21.0,78,2,communicators
78,8.0,23.0,79,2,communicators
79,8.0,25.0,80,2,communicators
80,8.0,27.0,81,2,communicators
81,7.0,25.0,82,2,communicators
82,7.0,24.0,83,2,communicators
83,7.0,21.0,84,2,communicators
84,7.0,18.0,85,2,communicators
85,7.0,15.0,86,2,communicators
86,5.0,13.0,87,2,communicators
87,5.0,10.0,88,2,communicators
88,3.0,8.0,89,2,communicators
89,3.0,5.0,90,2,communicators
90,1.0,5.0,91,2,communicators
91,1.0,3.0,92,2,communicators
92,2.0,5.0,93,2,communicators
93,3.0,6.0,94,2,communicators
94,3.0,4.0,95,2,communicators
95,0.0,4.0,96,2,communicators
96,0.0,3.0,97,2,communicators
97,3.0,3.0,98,2,communicators
98,1.0,4.0,99,2,communicators
99,1.0,6.0,100,2,communicators
100,0.0,5.0,101,2,communicators
101,0.0,6.0,102,2,communicators
102,2.0,4.0,103,2,communicators
103,2.0,3.0,104,2,communicators
104,2.0,3.0,105,2,communicators
105,3.0,3.0,106,2,communicators
106,1.0,2.0,107,2,communicators
107,0.0,3.0,108,2,communicators
108,1.0,3.0,109,2,communicators
109,3.0,5.0,110,2,communicators
110,5.0,7.0,111,2,communicators
111,5.0,10.0,112,2,communicators
112,6.0,11.0,113,2,communicators
113,7.0,11.0,114,2,communicators
114,6.0,10.0,115,2,communicators
115,7.0,12.0,116,2,communicators
116,5.0,11.0,117,2,communicators
117,6.0,12.0,118,2,communicators
118,8.0,10.0,119,2,communicators
119,7.0,9.0,120,2,communicators
120,5.0,9.0,121,2,communicators
121,5.0,12.0,122,2,communicators
122,8.0,12.0,123,2,communicators
123,8.0,11.0,124,2,communicators
124,5.0,11.0,125,2,communicators
125,5.0,10.0,126,2,communicators
126,7.0,9.0,127,2,communicators
127,8.0,11.0,128,2,communicators
128,9.0,9.0,129,2,communicators
129,7.0,8.0,130,2,communicators
130,5.0,8.0,131,2,communicators
131,6.0,9.0,132,2,communicators
132,5.0,9.0,133,2,communicators
133,6.0,7.0,134,2,communicators
134,6.0,10.0,135,2,communicators
135,6.0,13.0,136,2,communicators
136,6.0,16.0,137,2,communicators
137,6.0,19.0,138,2,communicators
138,8.0,21.0,139,2,communicators
139,10.0,23.0,140,2,communicators
140,10.0,26.0,141,2,communicators
141,9.0,24.0,142,2,communicators
142,10.0,24.0,143,2,communicators
143,12.0,25.0,144,2,communicators
144,12.0,23.0,145,2,communicators
145,12.0,26.0,146,2,communicators
146,9.0,26.0,147,2,communicators
147,11.0,25.0,148,2,communicators
148,12.0,24.0,149,2,communicators
149,0.0,0.0,150,2,communicators
0,6.0,5.0,1,3,communicators
1,8.0,7.0,2,3,communicators
2,10.0,8.0,3,3,communicators
3,10.0,8.0,4,3,communicators
4,11.0,9.0,5,3,communicators
5,11.0,10.0,6,3,communicators
6,11.0,8.0,7,3,communicators
7,12.0,10.0,8,3,communicators
8,9.0,10.0,9,3,communicators
9,10.0,9.0,10,3,communicators
10,10.0,7.0,11,3,communicators
11,11.0,7.0,12,3,communicators
12,9.0,8.0,13,3,communicators
13,12.0,8.0,14,3,communicators
14,12.0,9.0,15,3,communicators
15,9.0,9.0,16,3,communicators
16,9.0,7.0,17,3,communicators
17,12.0,7.0,18,3,communicators
18,10.0,9.0,19,3,communicators
19,10.0,10.0,20,3,communicators
20,9.0,12.0,21,3,communicators
21,6.0,12.0,22,3,communicators
22,3.0,12.0,23,3,communicators
23,3.0,10.0,24,3,communicators
24,2.0,12.0,25,3,communicators
25,2.0,11.0,26,3,communicators
26,3.0,11.0,27,3,communicators
27,2.0,13.0,28,3,communicators
28,2.0,10.0,29,3,communicators
29,1.0,12.0,30,3,communicators
30,3.0,13.0,31,3,communicators
31,1.0,11.0,32,3,communicators
32,4.0,11.0,33,3,communicators
33,4.0,10.0,34,3,communicators
34,1.0,10.0,35,3,communicators
35,1.0,13.0,36,3,communicators
36,3.0,12.0,37,3,communicators
37,4.0,12.0,38,3,communicators
38,3.0,10.0,39,3,communicators
39,3.0,8.0,40,3,communicators
40,3.0,8.0,41,3,communicators
41,2.0,7.0,42,3,communicators
42,4.0,8.0,43,3,communicators
43,3.0,10.0,44,3,communicators
44,3.0,8.0,45,3,communicators
45,3.0,11.0,46,3,communicators
46,4.0,11.0,47,3,communicators
47,6.0,13.0,48,3,communicators
48,8.0,15.0,49,3,communicators
49,8.0,18.0,50,3,communicators
50,10.0,20.0,51,3,communicators
51,12.0,22.0,52,3,communicators
52,12.0,25.0,53,3,communicators
53,13.0,26.0,54,3,communicators
54,15.0,24.0,55,3,communicators
55,15.0,25.0,56,3,communicators
56,15.0,26.0,57,3,communicators
57,12.0,26.0,58,3,communicators
58,12.0,24.0,59,3,communicators
59,14.0,23.0,60,3,communicators
60,15.0,23.0,61,3,communicators
61,14.0,25.0,62,3,communicators
62,13.0,25.0,63,3,communicators
63,14.0,26.0,64,3,communicators
64,14.0,24.0,65,3,communicators
65,13.0,23.0,66,3,communicators
66,15.0,23.0,67,3,communicators
67,13.0,23.0,68,3,communicators
68,12.0,24.0,69,3,communicators
69,12.0,21.0,70,3,communicators
70,11.0,23.0,71,3,communicators
71,11.0,26.0,72,3,communicators
72,12.0,25.0,73,3,communicators
73,11.0,24.0,74,3,communicators
74,11.0,22.0,75,3,communicators
75,8.0,22.0,76,3,communicators
76,6.0,24.0,77,3,communicators
77,8.0,23.0,78,3,communicators
78,9.0,23.0,79,3,communicators
79,7.0,25.0,80,3,communicators
80,7.0,22.0,81,3,communicators
81,8.0,20.0,82,3,communicators
82,7.0,18.0,83,3,communicators
83,5.0,16.0,84,3,communicators
84,5.0,13.0,85,3,communicators
85,5.0,10.0,86,3,communicators
86,3.0,8.0,87,3,communicators
87,2.0,6.0,88,3,communicators
88,2.0,6.0,89,3,communicators
89,3.0,5.0,90,3,communicators
90,1.0,5.0,91,3,communicators
91,1.0,3.0,92,3,communicators
92,2.0,5.0,93,3,communicators
93,3.0,6.0,94,3,communicators
94,3.0,4.0,95,3,communicators
95,0.0,4.0,96,3,communicators
96,0.0,3.0,97,3,communicators
97,3.0,3.0,98,3,communicators
98,1.0,4.0,99,3,communicators
99,1.0,6.0,100,3,communicators
100,0.0,5.0,101,3,communicators
101,0.0,6.0,102,3,communicators
102,2.0,4.0,103,3,communicators
103,2.0,3.0,104,3,communicators
104,3.0,4.0,105,3,communicators
105,4.0,3.0,106,3,communicators
106,3.0,5.0,107,3,communicators
107,5.0,7.0,108,3,communicators
108,6.0,9.0,109,3,communicators
109,6.0,9.0,110,3,communicators
110,8.0,9.0,111,3,communicators
111,7.0,10.0,112,3,communicators
112,6.0,11.0,113,3,communicators
113,7.0,11.0,114,3,communicators
114,6.0,10.0,115,3,communicators
115,7.0,12.0,116,3,communicators
116,5.0,11.0,117,3,communicators
117,6.0,12.0,118,3,communicators
118,8.0,10.0,119,3,communicators
119,7.0,9.0,120,3,communicators
120,5.0,9.0,121,3,communicators
121,5.0,12.0,122,3,communicators
122,8.0,12.0,123,3,communicators
123,8.0,11.0,124,3,communicators
124,5.0,11.0,125,3,communicators
125,5.0,10.0,126,3,communicators
126,3.0,9.0,127,3,communicators
127,1.0,7.0,128,3,communicators
128,3.0,9.0,129,3,communicators
129,4.0,7.0,130,3,communicators
130,4.0,8.0,131,3,communicators
131,2.0,8.0,132,3,communicators
132,3.0,9.0,133,3,communicators
133,3.0,10.0,134,3,communicators
134,3.0,13.0,135,3,communicators
135,3.0,16.0,136,3,communicators
136,5.0,18.0,137,3,communicators
137,7.0,20.0,138,3,communicators
138,9.0,22.0,139,3,communicators
139,10.0,23.0,140,3,communicators
140,10.0,26.0,141,3,communicators
141,9.0,24.0,142,3,communicators
142,10.0,24.0,143,3,communicators
143,12.0,25.0,144,3,communicators
144,12.0,23.0,145,3,communicators
145,12.0,26.0,146,3,communicators
146,9.0,26.0,147,3,communicators
147,11.0,25.0,148,3,communicators
148,12.0,24.0,149,3,communicators
149,0.0,0.0,150,3,communicators
0,6.0,26.0,1,4,communicators
1,5.0,26.0,2,4,communicators
2,5.0,23.0,3,4,communicators
3,5.0,20.0,4,4,communicators
4,7.0,18.0,5,4,communicators
5,9.0,16.0,6,4,communicators
6,9.0,13.0,7,4,communicators
7,9.0,10.0,8,4,communicators
8,9.0,10.0,9,4,communicators
9,10.0,9.0,10,4,communicators
10,10.0,7.0,11,4,communicators
11,11.0,7.0,12,4,communicators
12,9.0,8.0,13,4,communicators
13,12.0,8.0,14,4,communicators
14,12.0,9.0,15,4,communicators
15,9.0,9.0,16,4,communicators
16,9.0,7.0,17,4,communicators
17,12.0,7.0,18,4,communicators
18,10.0,9.0,19,4,communicators
19,10.0,10.0,20,4,communicators
20,10.0,13.0,21,4,communicators
21,10.0,16.0,22,4,communicators
22,8.0,14.0,23,4,communicators
23,6.0,12.0,24,4,communicators
24,4.0,13.0,25,4,communicators
25,2.0,11.0,26,4,communicators
26,3.0,11.0,27,4,communicators
27,2.0,13.0,28,4,communicators
28,2.0,10.0,29,4,communicators
29,1.0,12.0,30,4,communicators
30,3.0,13.0,31,4,communicators
31,1.0,11.0,32,4,communicators
32,4.0,11.0,33,4,communicators
33,4.0,10.0,34,4,communicators
34,1.0,10.0,35,4,communicators
35,1.0,13.0,36,4,communicators
36,3.0,12.0,37,4,communicators
37,4.0,12.0,38,4,communicators
38,4.0,15.0,39,4,communicators
39,5.0,16.0,40,4,communicators
40,6.0,14.0,41,4,communicators
41,5.0,14.0,42,4,communicators
42,6.0,13.0,43,4,communicators
43,8.0,11.0,44,4,communicators
44,6.0,13.0,45,4,communicators
45,5.0,11.0,46,4,communicators
46,7.0,13.0,47,4,communicators
47,9.0,15.0,48,4,communicators
48,11.0,17.0,49,4,communicators
49,11.0,20.0,50,4,communicators
50,13.0,22.0,51,4,communicators
51,13.0,24.0,52,4,communicators
52,12.0,25.0,53,4,communicators
53,13.0,26.0,54,4,communicators
54,15.0,24.0,55,4,communicators
55,15.0,25.0,56,4,communicators
56,15.0,26.0,57,4,communicators
57,12.0,26.0,58,4,communicators
58,12.0,24.0,59,4,communicators
59,14.0,23.0,60,4,communicators
60,15.0,23.0,61,4,communicators
61,14.0,25.0,62,4,communicators
62,13.0,25.0,63,4,communicators
63,14.0,26.0,64,4,communicators
64,14.0,24.0,65,4,communicators
65,13.0,23.0,66,4,communicators
66,11.0,22.0,67,4,communicators
67,12.0,22.0,68,4,communicators
68,15.0,22.0,69,4,communicators
69,17.0,20.0,70,4,communicators
70,16.0,20.0,71,4,communicators
71,17.0,20.0,72,4,communicators
72,19.0,22.0,73,4,communicators
73,19.0,25.0,74,4,communicators
74,18.0,24.0,75,4,communicators
75,18.0,24.0,76,4,communicators
76,19.0,22.0,77,4,communicators
77,20.0,20.0,78,4,communicators
78,18.0,19.0,79,4,communicators
79,18.0,19.0,80,4,communicators
80,20.0,18.0,81,4,communicators
81,19.0,17.0,82,4,communicators
82,19.0,19.0,83,4,communicators
83,18.0,20.0,84,4,communicators
84,16.0,19.0,85,4,communicators
85,14.0,17.0,86,4,communicators
86,12.0,15.0,87,4,communicators
87,10.0,13.0,88,4,communicators
88,8.0,11.0,89,4,communicators
89,6.0,9.0,90,4,communicators
90,4.0,7.0,91,4,communicators
91,2.0,5.0,92,4,communicators
92,2.0,5.0,93,4,communicators
93,3.0,6.0,94,4,communicators
94,3.0,4.0,95,4,communicators
95,0.0,4.0,96,4,communicators
96,0.0,3.0,97,4,communicators
97,3.0,3.0,98,4,communicators
98,1.0,4.0,99,4,communicators
99,1.0,6.0,100,4,communicators
100,0.0,5.0,101,4,communicators
101,0.0,6.0,102,4,communicators
102,2.0,4.0,103,4,communicators
103,2.0,3.0,104,4,communicators
104,4.0,1.0,105,4,communicators
105,6.0,0.0,106,4,communicators
106,8.0,0.0,107,4,communicators
107,8.0,3.0,108,4,communicators
108,8.0,6.0,109,4,communicators
109,8.0,9.0,110,4,communicators
110,8.0,9.0,111,4,communicators
111,7.0,10.0,112,4,communicators
112,6.0,11.0,113,4,communicators
113,7.0,11.0,114,4,communicators
114,6.0,10.0,115,4,communicators
115,7.0,12.0,116,4,communicators
116,5.0,11.0,117,4,communicators
117,6.0,12.0,118,4,communicators
118,8.0,10.0,119,4,communicators
119,7.0,9.0,120,4,communicators
120,5.0,9.0,121,4,communicators
121,5.0,12.0,122,4,communicators
122,8.0,12.0,123,4,communicators
123,8.0,11.0,124,4,communicators
124,5.0,11.0,125,4,communicators
125,5.0,10.0,126,4,communicators
126,5.0,13.0,127,4,communicators
127,5.0,11.0,128,4,communicators
128,5.0,14.0,129,4,communicators
129,3.0,14.0,130,4,communicators
130,3.0,14.0,131,4,communicators
131,2.0,15.0,132,4,communicators
132,4.0,15.0,133,4,communicators
133,3.0,15.0,134,4,communicators
134,5.0,17.0,135,4,communicators
135,7.0,19.0,136,4,communicators
136,9.0,21.0,137,4,communicators
137,9.0,23.0,138,4,communicators
138,11.0,24.0,139,4,communicators
139,10.0,23.0,140,4,communicators
140,10.0,26.0,141,4,communicators
141,9.0,24.0,142,4,communicators
142,10.0,24.0,143,4,communicators
143,12.0,25.0,144,4,communicators
144,12.0,23.0,145,4,communicators
145,12.0,26.0,146,4,communicators
146,9.0,26.0,147,4,communicators
147,11.0,25.0,148,4,communicators
148,12.0,24.0,149,4,communicators
149,0.0,0.0,150,4,communicators
0,24.0,14.0,1,5,communicators
1,25.0,14.0,2,5,communicators
2,22.0,14.0,3,5,communicators
3,20.0,12.0,4,5,communicators
4,17.0,12.0,5,5,communicators
5,14.0,12.0,6,5,communicators
6,12.0,10.0,7,5,communicators
7,12.0,10.0,8,5,communicators
8,9.0,10.0,9,5,communicators
9,10.0,9.0,10,5,communicators
10,10.0,7.0,11,5,communicators
11,11.0,7.0,12,5,communicators
12,9.0,8.0,13,5,communicators
13,12.0,8.0,14,5,communicators
14,12.0,9.0,15,5,communicators
15,9.0,9.0,16,5,communicators
16,9.0,7.0,17,5,communicators
17,12.0,7.0,18,5,communicators
18,10.0,9.0,19,5,communicators
19,10.0,10.0,20,5,communicators
20,8.0,8.0,21,5,communicators
21,6.0,10.0,22,5,communicators
22,3.0,10.0,23,5,communicators
23,3.0,10.0,24,5,communicators
24,2.0,12.0,25,5,communicators
25,2.0,11.0,26,5,communicators
26,3.0,11.0,27,5,communicators
27,2.0,13.0,28,5,communicators
28,2.0,10.0,29,5,communicators
29,1.0,12.0,30,5,communicators
30,3.0,13.0,31,5,communicators
31,1.0,11.0,32,5,communicators
32,4.0,11.0,33,5,communicators
33,4.0,10.0,34,5,communicators
34,1.0,10.0,35,5,communicators
35,1.0,13.0,36,5,communicators
36,3.0,12.0,37,5,communicators
37,4.0,12.0,38,5,communicators
38,6.0,11.0,39,5,communicators
39,4.0,11.0,40,5,communicators
40,3.0,10.0,41,5,communicators
41,2.0,12.0,42,5,communicators
42,2.0,15.0,43,5,communicators
43,0.0,17.0,44,5,communicators
44,0.0,16.0,45,5,communicators
45,0.0,13.0,46,5,communicators
46,0.0,13.0,47,5,communicators
47,2.0,15.0,48,5,communicators
48,4.0,17.0,49,5,communicators
49,6.0,19.0,50,5,communicators
50,8.0,21.0,51,5,communicators
51,10.0,23.0,52,5,communicators
52,12.0,25.0,53,5,communicators
53,13.0,26.0,54,5,communicators
54,15.0,24.0,55,5,communicators
55,15.0,25.0,56,5,communicators
56,15.0,26.0,57,5,communicators
57,12.0,26.0,58,5,communicators
58,12.0,24.0,59,5,communicators
59,14.0,23.0,60,5,communicators
60,15.0,23.0,61,5,communicators
61,14.0,25.0,62,5,communicators
62,13.0,25.0,63,5,communicators
63,14.0,26.0,64,5,communicators
64,14.0,24.0,65,5,communicators
65,13.0,23.0,66,5,communicators
66,12.0,22.0,67,5,communicators
67,11.0,24.0,68,5,communicators
68,9.0,23.0,69,5,communicators
69,8.0,25.0,70,5,communicators
70,9.0,23.0,71,5,communicators
71,9.0,22.0,72,5,communicators
72,9.0,21.0,73,5,communicators
73,10.0,23.0,74,5,communicators
74,12.0,21.0,75,5,communicators
75,12.0,23.0,76,5,communicators
76,10.0,23.0,77,5,communicators
77,11.0,25.0,78,5,communicators
78,10.0,25.0,79,5,communicators
79,7.0,25.0,80,5,communicators
80,5.0,24.0,81,5,communicators
81,6.0,22.0,82,5,communicators
82,7.0,20.0,83,5,communicators
83,7.0,17.0,84,5,communicators
84,7.0,14.0,85,5,communicators
85,5.0,12.0,86,5,communicators
86,3.0,10.0,87,5,communicators
87,3.0,7.0,88,5,communicators
88,2.0,6.0,89,5,communicators
89,3.0,5.0,90,5,communicators
90,1.0,5.0,91,5,communicators
91,1.0,3.0,92,5,communicators
92,2.0,5.0,93,5,communicators
93,3.0,6.0,94,5,communicators
94,3.0,4.0,95,5,communicators
95,0.0,4.0,96,5,communicators
96,0.0,3.0,97,5,communicators
97,3.0,3.0,98,5,communicators
98,1.0,4.0,99,5,communicators
99,1.0,6.0,100,5,communicators
100,0.0,5.0,101,5,communicators
101,0.0,6.0,102,5,communicators
102,2.0,4.0,103,5,communicators
103,2.0,3.0,104,5,communicators
104,2.0,1.0,105,5,communicators
105,5.0,1.0,106,5,communicators
106,5.0,1.0,107,5,communicators
107,3.0,3.0,108,5,communicators
108,3.0,6.0,109,5,communicators
109,5.0,8.0,110,5,communicators
110,7.0,10.0,111,5,communicators
111,7.0,10.0,112,5,communicators
112,6.0,11.0,113,5,communicators
113,7.0,11.0,114,5,communicators
114,6.0,10.0,115,5,communicators
