,x,y,time
0,11,14,1
1,12,14,1
2,13,14,1
3,14,14,1
4,11,15,1
5,12,15,1
6,13,15,1
7,14,15,1
8,11,16,1
9,12,16,1
10,13,16,1
11,14,16,1
12,11,17,1
13,12,17,1
14,13,17,1
15,14,17,1
0,11,14,2
1,12,14,2
2,13,14,2
3,14,14,2
4,11,15,2
5,12,15,2
6,13,15,2
7,14,15,2
8,11,16,2
9,12,16,2
10,13,16,2
11,14,16,2
12,11,17,2
13,12,17,2
14,13,17,2
15,14,17,2
0,11,14,3
1,12,14,3
2,13,14,3
3,14,14,3
4,11,15,3
5,12,15,3
6,13,15,3
7,14,15,3
8,11,16,3
9,12,16,3
10,13,16,3
11,14,16,3
12,11,17,3
13,12,17,3
14,13,17,3
15,14,17,3
0,11,14,4
1,12,14,4
2,13,14,4
3,11,15,4
4,12,15,4
5,13,15,4
6,14,15,4
7,11,16,4
8,12,16,4
9,13,16,4
10,14,16,4
11,11,17,4
12,12,17,4
13,13,17,4
14,14,17,4
0,11,14,5
1,12,14,5
2,13,14,5
3,11,15,5
4,13,15,5
5,14,15,5
6,11,16,5
7,12,16,5
8,13,16,5
9,14,16,5
10,11,17,5
11,12,17,5
12,13,17,5
13,14,17,5
0,11,14,6
1,12,14,6
2,13,14,6
3,11,15,6
4,13,15,6
5,14,15,6
6,11,16,6
7,12,16,6
8,14,16,6
9,11,17,6
10,12,17,6
11,13,17,6
12,14,17,6
0,11,14,7
1,12,14,7
2,13,14,7
3,11,15,7
4,13,15,7
5,14,15,7
6,11,16,7
7,12,16,7
8,14,16,7
9,11,17,7
10,13,17,7
11,14,17,7
0,11,14,8
1,12,14,8
2,13,14,8
3,11,15,8
4,14,15,8
5,11,16,8
6,12,16,8
7,14,16,8
8,11,17,8
9,13,17,8
10,14,17,8
0,11,14,9
1,12,14,9
2,13,14,9
3,11,15,9
4,14,15,9
5,11,16,9
6,12,16,9
7,14,16,9
8,11,17,9
9,13,17,9
0,11,14,10
1,12,14,10
2,13,14,10
3,11,15,10
4,14,15,10
5,11,16,10
6,12,16,10
7,14,16,10
8,11,17,10
0,11,14,11
1,12,14,11
2,13,14,11
3,14,15,11
4,11,16,11
5,12,16,11
6,14,16,11
7,11,17,11
0,11,14,12
1,13,14,12
2,14,15,12
3,11,16,12
4,12,16,12
5,14,16,12
6,11,17,12
0,11,14,13
1,14,15,13
2,11,16,13
3,12,16,13
4,14,16,13
5,11,17,13
0,11,14,14
1,14,15,14
2,11,16,14
3,12,16,14
4,11,17,14
0,11,14,15
1,14,15,15
2,11,16,15
3,11,17,15
0,11,14,16
1,14,15,16
2,11,16,16
0,14,15,17
1,11,16,17
0,14,15,18
0,14,15,19
0,1,23,20
1,2,23,20
2,3,23,20
3,4,23,20
4,1,24,20
5,2,24,20
6,3,24,20
7,4,24,20
8,1,25,20
9,2,25,20
10,3,25,20
11,4,25,20
12,1,26,20
13,2,26,20
14,3,26,20
15,4,26,20
0,1,23,21
1,2,23,21
2,3,23,21
3,4,23,21
4,1,24,21
5,2,24,21
6,3,24,21
7,4,24,21
8,1,25,21
9,2,25,21
10,3,25,21
11,4,25,21
12,1,26,21
13,2,26,21
14,3,26,21
15,4,26,21
0,1,23,22
1,2,23,22
2,3,23,22
3,4,23,22
4,1,24,22
5,2,24,22
6,3,24,22
7,4,24,22
8,1,25,22
9,2,25,22
10,3,25,22
11,4,25,22
12,1,26,22
13,2,26,22
14,3,26,22
15,4,26,22
0,1,23,23
1,2,23,23
2,3,23,23
3,4,23,23
4,1,24,23
5,2,24,23
6,3,24,23
7,4,24,23
8,1,25,23
9,2,25,23
10,3,25,23
11,4,25,23
12,1,26,23
13,2,26,23
14,3,26,23
15,4,26,23
0,1,23,24
1,2,23,24
2,3,23,24
3,4,23,24
4,1,24,24
5,2,24,24
6,3,24,24
7,4,24,24
8,1,25,24
9,2,25,24
10,3,25,24
11,4,25,24
12,1,26,24
13,2,26,24
14,3,26,24
15,4,26,24
0,1,23,25
1,2,23,25
2,3,23,25
3,4,23,25
4,1,24,25
5,2,24,25
6,3,24,25
7,4,24,25
8,1,25,25
